publication_year,paper_n,analysis_stage
2023,59,candidate_exploratory
2019,55,candidate_exploratory
2021,54,candidate_exploratory
2025,51,candidate_exploratory
2020,47,candidate_exploratory
2016,44,candidate_exploratory
2022,43,candidate_exploratory
2024,41,candidate_exploratory
2015,39,candidate_exploratory
2014,38,candidate_exploratory
2018,38,candidate_exploratory
2017,34,candidate_exploratory
2013,20,candidate_exploratory
2012,18,candidate_exploratory
2009,13,candidate_exploratory
2005,11,candidate_exploratory
2011,11,candidate_exploratory
2002,10,candidate_exploratory
2008,10,candidate_exploratory
2010,10,candidate_exploratory
2026,10,candidate_exploratory
2007,9,candidate_exploratory
2004,7,candidate_exploratory
2000,6,candidate_exploratory
1999,5,candidate_exploratory
2003,5,candidate_exploratory
1996,4,candidate_exploratory
2001,4,candidate_exploratory
2006,4,candidate_exploratory
1995,2,candidate_exploratory
1998,2,candidate_exploratory
1987,1,candidate_exploratory
1991,1,candidate_exploratory
1992,1,candidate_exploratory
1994,1,candidate_exploratory
1997,1,candidate_exploratory
